Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
37822468,Big Game: The NFL in Dangerous Times,Mark Leibovich,"Leibovich, Mark",,"=""0399185429""","=""9780399185427""",3,3.63,Penguin Press,Hardcover,400,2018,2018,,2018/11/18,"non-fiction, sports","non-fiction (#46), sports (#10)",read,,,,1,,,0,,,,,
16171221,The Sports Gene: Inside the Science of Extraordinary Athletic Performance,David   Epstein,"Epstein, David",,"=""1591845114""","=""9781591845119""",5,4.19,Current,Hardcover,338,2013,2013,2013/09/11,2013/08/26,"non-fiction, sports","non-fiction (#23), sports (#3)",read,,,,1,,,1,,,unspecified,,
8470954,Less Than Zero,Bret Easton Ellis,"Ellis, Bret Easton",,"=""""","=""""",4,3.58,,Kindle Edition,209,,1985,2020/04/18,2020/04/14,"fiction, los-angeles","fiction (#11), los-angeles (#11)",read,,,,1,,,0,,,,,
25035100,The Sellout,Paul Beatty,"Beatty, Paul",,"=""""","=""""",5,3.77,"Farrar, Straus and Giroux",Kindle Edition,305,2015,2015,2020/03/29,2020/02/16,"fiction, los-angeles","fiction (#7), los-angeles (#7)",read,,,,1,,,0,,,,,
5000024,"The Big Sleep (Philip Marlowe, #1)",Raymond Chandler,"Chandler, Raymond",,"=""""","=""""",3,4.01,Vintage,Kindle Edition,234,2002,1939,2020/01/15,2020/01/05,"fiction, los-angeles","fiction (#6), los-angeles (#6)",read,,,,1,,,0,,,,,
19643530,"Inner City Blues (Charlotte Justice, #1)",Paula L. Woods,"Woods, Paula L.",,"=""""","=""""",4,3.60,W. W. Norton & Company,Kindle Edition,320,2009,1999,2020/03/13,2020/03/04,"fiction, los-angeles","fiction (#10), los-angeles (#10)",read,,,,1,,,0,,,,,
43886896,Beijing Payback,Daniel Nieh,"Nieh, Daniel",,"=""""","=""""",3,3.39,Ecco,Kindle Edition,301,2019,2019,2020/03/17,2020/03/04,"fiction, los-angeles","fiction (#8), los-angeles (#8)",read,,,,1,,,0,,,,,
879746,"Amateur City (Kate Delafield, #1)",Katherine V. Forrest,"Forrest, Katherine V.",,"=""1555837182""","=""9781555837181""",3,3.75,Alyson Publications Inc.,Paperback,216,2003,1984,,2020/03/04,"fiction, los-angeles","fiction (#9), los-angeles (#9)",read,,,,1,,,0,,,,,
39507318,The Library Book,Susan Orlean,"Orlean, Susan",,"=""1476740186""","=""9781476740188""",5,3.93,Simon & Schuster,Hardcover,317,2018,2018,,2018/11/18,"non-fiction, los-angeles","non-fiction (#47), los-angeles (#4)",read,,,,1,,,0,,,,,
43615778,Your House Will Pay,Steph Cha,"Cha, Steph",,"=""0062868853""","=""9780062868855""",5,4.13,Ecco,Hardcover,304,2019,2019,2020/02/07,2019/12/13,"fiction, los-angeles","fiction (#5), los-angeles (#5)",read,,,,1,,,0,,,,,
24399756,Ghettoside: A True Story of Murder in America,Jill Leovy,"Leovy, Jill",,"=""""","=""""",5,4.10,Spiegel & Grau,Kindle Edition,386,2015,2015,2015/03/27,2015/03/29,"non-fiction, los-angeles","non-fiction (#27), los-angeles (#1)",read,,,,1,,,1,,,unspecified,,
21284468,"The Monopolists: Obsession, Fury, and the Scandal Behind the World's Favorite Board Game",Mary Pilon,"Pilon, Mary",,"=""""","=""""",4,3.67,Bloomsbury USA,Kindle Edition,336,2015,2015,2019/02/13,2019/02/03,non-fiction,non-fiction (#57),read,,,,1,,,0,,,,,
